7m.paul@gmail.com,10c.mircea@yahoo.ro
10c.mircea@yahoo.ro,11c.andrei@gmail.com
7m.paul@gmail.com,8edi.c@yahoo.it
3alex.popescu@yahoo.com,5h.teo1995@yahoo.ro
1adi.popa@yahoo.com,2andrei.radu@yahoo.com
2andrei.radu@yahoo.com,3alex.popescu@yahoo.com
5h.teo1995@yahoo.ro,11c.andrei@gmail.com
8edi.c@yahoo.it,9b.stefan@gmail.com
5h.teo1995@yahoo.ro,6g.chiper@yahoo.com
12t.bordian@yahoo.com,13m.alexandra@gmail.com
3alex.popescu@yahoo.com,4andreii23@gmail.com
6g.chiper@yahoo.com,7m.paul@gmail.com
9b.stefan@gmail.com,10c.mircea@yahoo.ro
